company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,Mar-13,+,+,+,Other
TCS,Mar-14,+,+,+,Other
TCS,Mar-15,+,+,+,Other
TCS,Mar-16,+,+,+,Other
TCS,Mar-17,+,+,+,Other
TCS,Mar-18,+,+,+,Other
TCS,Mar-19,+,+,+,Other
TCS,Mar-20,+,+,+,Other
TCS,Mar-21,+,+,+,Other
TCS,Mar-22,+,+,+,Other
TCS,Mar-23,+,+,+,Other
TCS,Mar-24,+,+,+,Other
ABB,Dec-12,+,+,+,Other
ABB,Mar-14,+,+,+,Other
ABB,Mar-15,+,+,+,Other
ABB,Mar-16,+,+,+,Other
ABB,Mar-17,+,+,+,Other
ABB,Mar-18,+,+,+,Other
ABB,Mar-19,+,+,+,Other
ABB,Mar-20,+,+,+,Other
ABB,Mar-21,+,+,+,Other
ABB,Mar-22,+,+,+,Other
ABB,Mar-23,+,+,+,Other
ABB,Mar-24,+,+,+,Other
ADANIENSOL,Mar-14,+,+,+,Other
ADANIENSOL,Mar-15,-,+,+,Distress
ADANIENSOL,Mar-16,+,+,+,Other
ADANIENSOL,Mar-17,+,+,+,Other
ADANIENSOL,Mar-18,+,+,+,Other
ADANIENSOL,Mar-19,+,+,+,Other
ADANIENSOL,Mar-20,+,+,+,Other
ADANIENSOL,Mar-21,+,+,+,Other
ADANIENSOL,Mar-22,+,+,+,Other
ADANIENSOL,Mar-23,+,+,+,Other
ADANIENSOL,Mar-24,+,+,+,Other
ADANIENT,Mar-13,+,+,+,Other
ADANIENT,Mar-14,+,+,+,Other
ADANIENT,Mar-15,+,+,+,Other
ADANIENT,Mar-16,+,+,+,Other
ADANIENT,Mar-17,+,+,+,Other
ADANIENT,Mar-18,+,+,+,Other
ADANIENT,Mar-19,+,+,+,Other
ADANIENT,Mar-20,+,+,+,Other
ADANIENT,Mar-21,+,+,+,Other
ADANIENT,Mar-22,+,+,+,Other
ADANIENT,Mar-23,+,+,+,Other
ADANIENT,Mar-24,+,+,+,Other
ADANIGREEN,Mar-17,+,+,+,Other
ADANIGREEN,Mar-18,+,+,+,Other
ADANIGREEN,Mar-19,+,+,+,Other
ADANIGREEN,Mar-20,+,+,+,Other
ADANIGREEN,Mar-21,+,+,+,Other
ADANIGREEN,Mar-22,+,+,+,Other
ADANIGREEN,Mar-23,+,+,+,Other
ADANIGREEN,Mar-24,+,+,+,Other
ADANIPORTS,Mar-13,+,+,+,Other
ADANIPORTS,Mar-14,+,+,+,Other
ADANIPORTS,Mar-15,+,+,+,Other
ADANIPORTS,Mar-16,+,+,+,Other
ADANIPORTS,Mar-17,+,+,+,Other
ADANIPORTS,Mar-18,+,+,+,Other
ADANIPORTS,Mar-19,+,+,+,Other
ADANIPORTS,Mar-20,+,+,+,Other
ADANIPORTS,Mar-21,+,+,+,Other
ADANIPORTS,Mar-22,+,+,+,Other
ADANIPORTS,Mar-23,+,+,+,Other
ADANIPORTS,Mar-24,+,+,+,Other
ADANIPOWER,Mar-13,+,+,+,Other
ADANIPOWER,Mar-14,+,+,+,Other
ADANIPOWER,Mar-15,+,+,+,Other
ADANIPOWER,Mar-16,+,+,+,Other
ADANIPOWER,Mar-17,+,+,+,Other
ADANIPOWER,Mar-18,+,+,+,Other
ADANIPOWER,Mar-19,+,+,+,Other
ADANIPOWER,Mar-20,+,+,+,Other
ADANIPOWER,Mar-21,+,+,+,Other
ADANIPOWER,Mar-22,+,+,+,Other
ADANIPOWER,Mar-23,+,+,+,Other
ADANIPOWER,Mar-24,+,+,+,Other
AMBUJACEM,Dec-12,+,+,+,Other
AMBUJACEM,Dec-13,+,+,+,Other
AMBUJACEM,Dec-14,+,+,+,Other
AMBUJACEM,Dec-15,+,+,+,Other
AMBUJACEM,Dec-16,+,+,+,Other
AMBUJACEM,Dec-17,+,+,+,Other
AMBUJACEM,Dec-18,+,+,+,Other
AMBUJACEM,Dec-19,+,+,+,Other
AMBUJACEM,Dec-20,+,+,+,Other
AMBUJACEM,Dec-21,+,+,+,Other
AMBUJACEM,Mar-23,-,+,+,Distress
AMBUJACEM,Mar-24,+,+,+,Other
APOLLOHOSP,Mar-13,+,+,+,Other
APOLLOHOSP,Mar-14,+,+,+,Other
APOLLOHOSP,Mar-15,+,+,+,Other
APOLLOHOSP,Mar-16,+,+,+,Other
APOLLOHOSP,Mar-17,+,+,+,Other
APOLLOHOSP,Mar-18,+,+,+,Other
APOLLOHOSP,Mar-19,+,+,+,Other
APOLLOHOSP,Mar-20,+,+,+,Other
APOLLOHOSP,Mar-21,+,+,+,Other
APOLLOHOSP,Mar-22,+,+,+,Other
APOLLOHOSP,Mar-23,+,+,+,Other
APOLLOHOSP,Mar-24,+,+,+,Other
ASIANPAINT,Mar-13,+,+,+,Other
ASIANPAINT,Mar-14,+,+,+,Other
ASIANPAINT,Mar-15,+,+,+,Other
ASIANPAINT,Mar-16,+,+,+,Other
ASIANPAINT,Mar-17,+,+,+,Other
ASIANPAINT,Mar-18,+,+,+,Other
ASIANPAINT,Mar-19,+,+,+,Other
ASIANPAINT,Mar-20,+,+,+,Other
ASIANPAINT,Mar-21,+,+,+,Other
ASIANPAINT,Mar-22,+,+,+,Other
ASIANPAINT,Mar-23,+,+,+,Other
ASIANPAINT,Mar-24,+,+,+,Other
AGTL,Mar-18,-,+,+,Distress
AGTL,Mar-19,-,+,+,Distress
AGTL,Mar-20,-,+,+,Distress
AGTL,Mar-21,-,+,+,Distress
AGTL,Mar-22,-,+,+,Distress
AGTL,Mar-23,-,+,+,Distress
AGTL,Mar-24,-,+,+,Distress
AXISBANK,Mar-13,+,+,+,Other
AXISBANK,Mar-14,+,+,+,Other
