company_id,year,operating_activity,cash_from_operations_cr,cfo_quality_score,cfo_quality_label
TCS,Mar-13,11615.0,11615.0,1.0,Strong
TCS,Mar-14,14751.0,14751.0,1.0,Strong
TCS,Mar-15,19369.0,19369.0,1.0,Strong
TCS,Mar-16,19109.0,19109.0,1.0,Strong
TCS,Mar-17,25223.0,25223.0,1.0,Strong
TCS,Mar-18,25067.0,25067.0,1.0,Strong
TCS,Mar-19,28593.0,28593.0,1.0,Strong
TCS,Mar-20,32369.0,32369.0,1.0,Strong
TCS,Mar-21,38802.0,38802.0,1.0,Strong
TCS,Mar-22,39949.0,39949.0,1.0,Strong
TCS,Mar-23,41965.0,41965.0,1.0,Strong
TCS,Mar-24,44338.0,44338.0,1.0,Strong
ABB,Dec-12,101.0,101.0,1.0,Strong
ABB,Mar-14,155.0,155.0,1.0,Strong
ABB,Mar-15,215.0,215.0,1.0,Strong
ABB,Mar-16,249.0,249.0,1.0,Strong
ABB,Mar-17,307.0,307.0,1.0,Strong
ABB,Mar-18,153.0,153.0,1.0,Strong
ABB,Mar-19,499.0,499.0,1.0,Strong
ABB,Mar-20,626.0,626.0,1.0,Strong
ABB,Mar-21,727.0,727.0,1.0,Strong
ABB,Mar-22,948.0,948.0,1.0,Strong
ABB,Mar-23,893.0,893.0,1.0,Strong
ABB,Mar-24,1213.0,1213.0,1.0,Strong
ADANIENSOL,Mar-14,0.0,0.0,,Unknown
ADANIENSOL,Mar-15,-35.0,-35.0,1.0,Strong
ADANIENSOL,Mar-16,1544.0,1544.0,1.0,Strong
ADANIENSOL,Mar-17,2189.0,2189.0,1.0,Strong
ADANIENSOL,Mar-18,2198.0,2198.0,1.0,Strong
ADANIENSOL,Mar-19,2591.0,2591.0,1.0,Strong
ADANIENSOL,Mar-20,5437.0,5437.0,1.0,Strong
ADANIENSOL,Mar-21,3784.0,3784.0,1.0,Strong
ADANIENSOL,Mar-22,4097.0,4097.0,1.0,Strong
ADANIENSOL,Mar-23,3777.0,3777.0,1.0,Strong
ADANIENSOL,Mar-24,6038.0,6038.0,1.0,Strong
ADANIENT,Mar-13,7666.0,7666.0,1.0,Strong
ADANIENT,Mar-14,8228.0,8228.0,1.0,Strong
ADANIENT,Mar-15,8532.0,8532.0,1.0,Strong
ADANIENT,Mar-16,5112.0,5112.0,1.0,Strong
ADANIENT,Mar-17,774.0,774.0,1.0,Strong
ADANIENT,Mar-18,2942.0,2942.0,1.0,Strong
ADANIENT,Mar-19,3236.0,3236.0,1.0,Strong
ADANIENT,Mar-20,2454.0,2454.0,1.0,Strong
ADANIENT,Mar-21,4043.0,4043.0,1.0,Strong
