company_id,year,broad_sector,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sector_median_pe,valuation_flag,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,compounded_sales_growth,cluster,cluster_name,outlier,return_on_equity_pct_zscore,debt_to_equity_zscore,operating_profit_margin_pct_zscore,compounded_sales_growth_zscore
ABB,2024,Industrials,1536236.24,1619349.16,75.58,4.48,12.63,0.96,47.155,Caution,32.47,0.0224,25.0,,0,High Quality,False,-0.4653973111911678,-0.9056906601309929,0.23322272007085165,
ADANIENSOL,2024,Energy,348517.36,439276.19,58.5,9.05,14.83,1.65,44.915,Fair,9.46,2.9325,30.0,,0,High Quality,False,-0.7193587153080508,0.8333307188005027,-0.15368942173723318,
ADANIENT,2024,Industrials,187927.97,191237.75,58.87,10.41,33.01,0.83,47.155,Fair,8.53,1.6714,12.0,,0,High Quality,False,-0.47863423523946086,1.756965604008795,-0.6089704357405568,
ADANIGREEN,2024,Energy,510512.78,491878.9,45.26,6.24,21.78,0.89,44.915,Fair,12.81,6.5953,79.0,,1,Value,True,-0.43307458799684184,3.022885627819251,1.7659215909415436,
ADANIPORTS,2024,Industrials,675598.01,611165.74,48.9,2.31,31.76,1.16,47.155,Fair,15.35,0.9373,58.0,,0,High Quality,False,-0.47486331535602894,0.571607227110664,2.3710976540536577,
ADANIPOWER,2024,Energy,1372183.55,1357949.64,44.57,9.91,24.76,1.65,44.915,Fair,48.28,0.8023,36.0,,0,High Quality,False,2.59811884356393,-0.4400639156845188,0.0813649879785354,
AMBUJACEM,2024,Materials,1281411.04,1198290.68,55.62,9.21,27.67,3.1,55.62,Fair,11.43,0.0169,19.0,,0,High Quality,False,-0.32184588055663516,-0.8467685045174562,-0.4709753069327577,
APOLLOHOSP,2024,Healthcare,1905622.43,2433382.94,47.72,7.68,16.74,3.22,47.06,Fair,13.48,0.7689,13.0,,0,High Quality,False,-0.6943965895877579,1.5387936459349496,-0.4131730281660567,
ASIANPAINT,2024,Materials,2126725.18,2475080.63,73.37,3.9,23.94,2.42,55.62,Fair,29.68,0.1321,21.0,,0,High Quality,False,0.9440350074085794,-0.5709242259226471,-0.47085723841760785,
ATGL,2024,Energy,1535602.41,1925338.89,56.96,5.76,28.93,0.51,44.915,Fair,,,,,0,High Quality,False,,,,
AXISBANK,2024,Financials,948868.63,929130.29,38.14,4.66,16.87,2.32,34.24,Fair,15.83,8.2491,11952.0,,1,Value,False,-0.17077710606717483,0.9101351227479108,1.0394024394393708,
BAJAJ-AUTO,2024,Consumer Discretionary,653817.3,679803.97,29.91,9.83,20.14,3.59,38.005,Fair,26.61,0.066,20.0,,0,High Quality,False,-0.25899613749976275,-0.5764141022509861,-0.34290400538349813,
BAJAJFINSV,2024,Financials,1905112.17,1807796.2,15.07,6.08,39.72,2.56,34.24,Discount,25.85,4.7894,37.0,,1,Value,False,0.6843580871901269,0.06632110129815312,0.358926808366395,
BAJAJHLDNG,2024,Financials,2191568.13,2726439.01,37.73,9.38,27.47,3.37,34.24,Fair,13.58,0.0012,92.0,,0,High Quality,False,-0.3627984817986048,-1.1015114557171166,0.36206790443932946,
BAJFINANCE,2024,Financials,2473271.58,2632574.41,69.2,4.11,15.96,0.27,34.24,Caution,18.84,3.8248,19987.0,,0,High Quality,False,0.0861048232446493,-0.16894294040790103,1.4982880202762454,
BANKBARODA,2024,Financials,590971.02,656699.32,16.89,4.15,24.7,2.62,34.24,Discount,15.76,12.1437,4102.0,,1,Value,False,-0.17675110442326378,1.860020398331986,0.5910823635750938,
BEL,2024,Industrials,1354781.06,1259877.04,17.89,9.22,23.14,0.76,47.155,Discount,4744.05,0.5119,25.0,,2,Growth,False,2.1397332906240507,-0.11529027123079498,0.23322272007085165,
BHARTIARTL,2024,Communication Services,378605.83,429972.49,63.78,6.28,39.71,1.02,48.33,Fair,10.36,2.6095,52.0,,0,High Quality,False,0.7071067811865475,0.7071067811865475,0.7071067811865476,
BHEL,2024,Industrials,540053.85,682460.17,29.8,11.43,21.59,4.04,47.155,Discount,1.15,0.3624,3.0,,0,High Quality,False,-0.48271479077314516,-0.3566893685557788,-1.1920272359176858,
BOSCHLTD,2024,Consumer Discretionary,2599556.05,2628370.51,58.43,6.47,16.07,4.23,38.005,Caution,20.64,0.0032,13.0,,0,High Quality,False,-0.28471726056562563,-0.633635722382987,-0.34446839216845143,
BPCL,2024,Energy,468662.13,606487.07,68.15,0.72,26.59,1.15,44.915,Caution,35.51000000000001,0.7219,10.0,,0,High Quality,False,1.5068208418432922,-0.48812556652133965,-0.9372041207897951,
BRITANNIA,2024,Consumer Staples,324745.74,376568.58,63.91,4.26,33.95,1.88,50.95,Fair,54.15,0.524,19.0,,0,High Quality,False,0.4802997191238228,1.9408652964253703,-0.3785968421433241,
CANBK,2024,Financials,496415.88,483983.21,36.74,12.61,25.23,3.81,34.24,Fair,16.72,14.8674,-7745.0,,1,Value,False,-0.09482198411118706,2.524325468200097,-0.08550973053498116,
CHOLAFIN,2024,Financials,971931.96,1024979.49,16.79,10.36,13.52,2.83,34.24,Discount,17.46,6.8634,4548.0,,1,Value,False,-0.03166828720396102,0.5721656197496945,0.6165537971847075,
CIPLA,2024,Healthcare,439803.15,562931.78,59.75,5.93,33.7,0.12,47.06,Fair,15.55,0.0209,6291.0,,0,High Quality,False,-0.2385611962114393,-0.6786107152646181,2.041235050206286,
COALINDIA,2024,Materials,454024.84,574785.39,34.27,14.75,25.15,4.38,55.62,Discount,45.17,0.0788,47971.0,,0,High Quality,False,2.018473087111657,-0.6985500944044468,2.359835412300082,
DABUR,2024,Consumer Staples,56521.84,67755.32,50.95,13.59,12.02,3.42,50.95,Fair,18.36,0.1384,19.0,,0,High Quality,False,-0.3932355885501613,-0.24478433773181574,-0.3785968421433241,
DIVISLAB,2024,Healthcare,1615028.67,1501836.03,69.95,12.34,31.81,1.39,47.06,Fair,11.79,0.0002,28.0,,0,High Quality,False,-1.0665520556776027,-0.7399747129609163,-0.4073087208746287,
DLF,2024,Real Estate,1381712.03,1248409.43,46.26,14.32,10.41,2.58,49.105,Fair,6.909999999999999,0.1226,33.0,,0,High Quality,False,-0.7071067811865472,-0.7071067811865477,0.7071067811865476,
DMART,2024,Consumer Discretionary,3053088.97,3624591.94,72.53,11.71,36.84,1.94,38.005,Caution,13.56,0.0317,8.0,,0,High Quality,False,-0.3152207029954931,-0.6076673119727637,-0.345585811300561,
DRREDDY,2024,Healthcare,2441803.28,2725256.67,11.73,10.19,14.56,0.09,47.06,Discount,19.74,0.0709,28.0,,0,High Quality,False,0.6841201072894173,-0.5303884986068931,-0.4073087208746287,
EICHERMOT,2024,Consumer Discretionary,222391.83,234358.89,15.62,13.61,19.29,4.41,38.005,Discount,22.17,0.0232,26.0,,0,High Quality,False,-0.27812541495578136,-0.6154122764810759,-0.3415631024249667,
GAIL,2024,Energy,1531867.57,1613856.89,25.84,9.54,33.07,0.31,44.915,Discount,12.86,0.283,11.0,,0,High Quality,False,-0.4288016905742866,-0.750491966425328,-0.898028385837167,
GODREJCP,2024,Consumer Staples,1327797.2,1350416.57,33.59,8.07,23.55,3.09,50.95,Discount,-4.45,0.2558,21.0,,0,High Quality,False,-0.9499648528151398,0.4206598195556679,-0.3782353145674421,
GRASIM,2024,Industrials,478951.82,601673.21,79.35,5.68,15.23,0.98,47.155,Caution,11.2,1.5471,21.0,,0,High Quality,False,-0.47715793669272133,1.5562571906476212,-0.02591363556342786,
HAL,2024,Industrials,2643616.86,3140281.78,71.89,3.65,8.76,2.77,47.155,Caution,3816.58,0.6181,32.0,,2,Growth,False,1.6269158325175213,0.05619189690240417,0.6867113424308408,
HAVELLS,2024,Industrials,2521508.87,2620805.22,45.41,14.08,30.73,2.6,47.155,Fair,17.07,0.0407,10.0,,0,High Quality,False,-0.47391229157311066,-0.8761414729667976,-0.7385386135576966,
HCLTECH,2024,Information Technology,412593.29,461362.25,63.63,5.44,31.21,1.99,63.63,Fair,23.01,0.0844,22.0,,0,High Quality,False,-0.7847950846514917,-1.5297591532560713,-0.18569533817705186,
HDFCBANK,2024,Financials,808359.03,976938.14,49.42,4.4,22.54,4.33,34.24,Fair,14.34,6.8088,-44685.0,,1,Value,False,-0.2979379282182107,0.558848787200295,-2.19518407479312,
HDFCBANK,2024,Financials,808359.03,976938.14,49.42,4.4,22.54,4.33,34.24,Fair,14.34,6.8088,-44685.0,,1,Value,False,-0.2979379282182107,0.558848787200295,-2.19518407479312,
HDFCBANK,2024,Financials,808359.03,976938.14,49.42,4.4,22.54,4.33,34.24,Fair,14.34,6.8088,-44685.0,,1,Value,False,-0.2979379282182107,0.558848787200295,-2.19518407479312,
HDFCBANK,2024,Financials,808359.03,976938.14,49.42,4.4,22.54,4.33,34.24,Fair,14.34,6.8088,-44685.0,,3,Turnaround,False,-0.2979379282182107,0.558848787200295,-2.19518407479312,
HDFCLIFE,2024,Financials,47027.6,42921.31,50.59,11.28,31.63,3.22,34.24,Fair,10.73,0.0648,531.0,,0,High Quality,False,-0.6060255577250828,-1.0859995408793546,0.38713956218511514,
HEROMOTOCO,2024,Consumer Discretionary,1593400.88,1475343.49,53.86,12.6,28.27,1.91,38.005,Fair,21.14,0.0342,5235.0,,0,High Quality,False,-0.2825630626539118,-0.6053893812350247,0.8225641494067442,
HINDALCO,2024,Materials,722281.1,656285.92,56.45,9.32,27.63,0.98,55.62,Fair,9.569999999999999,0.5309,23872.0,,0,High Quality,False,-0.4508616861245968,0.3839950301850771,0.9371688390019464,
HINDUNILVR,2024,Consumer Staples,548890.59,587463.38,34.51,11.88,7.52,4.32,50.95,Discount,20.07,0.029,14659.0,,0,High Quality,False,-0.3514991991642291,-0.8648830669247517,2.267785013313183,
ICICIBANK,2024,Financials,1319221.86,1598760.1,25.76,6.2,38.28,3.43,34.24,Fair,17.99,6.4456,-14152.0,,1,Value,False,0.013563414634997842,0.47026502196326525,-0.45141886761299677,
ICICIGI,2024,Financials,1271789.21,1382030.89,49.0,7.86,36.96,3.46,34.24,Fair,15.72,0.0029,2577.0,,0,High Quality,False,-0.18016481776960025,-1.101096829062648,0.5039883360982758,
ICICIPRULI,2024,Financials,1596987.55,2014403.87,20.83,12.38,22.57,0.35,34.24,Discount,7.73,0.109,-1829.0,,0,High Quality,False,-0.8620540587003228,-1.0752192478631744,0.25235798523738345,
INDIGO,2024,Consumer Discretionary,1040632.92,1061542.29,76.23,7.87,24.64,4.27,38.005,Caution,892.57,0.0186,16331.0,,0,High Quality,True,3.471902309755612,-0.6196036690385155,3.3023406873842185,
INDUSINDBK,2024,Financials,1807433.12,1674611.06,8.99,3.7,28.79,1.42,34.24,Discount,14.25,6.8857,2978.0,,1,Value,False,-0.3056187832474679,0.5776045458641926,0.5268897820118521,
INFY,2024,Information Technology,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.63,Discount,29.79,0.0949,24.0,,0,High Quality,False,-0.315466102105519,0.46445283546939703,0.18569533817705186,
INFY,2024,Information Technology,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.63,Discount,29.79,0.0949,24.0,,0,High Quality,False,-0.315466102105519,0.46445283546939703,0.18569533817705186,
INFY,2024,Information Technology,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.63,Discount,29.79,0.0949,24.0,,0,High Quality,False,-0.315466102105519,0.46445283546939703,0.18569533817705186,
INFY,2024,Information Technology,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.63,Discount,29.79,0.0949,24.0,,0,High Quality,False,-0.315466102105519,0.46445283546939703,0.18569533817705186,
IOC,2024,Energy,1418164.33,1786391.89,28.61,4.24,33.71,1.25,44.915,Discount,23.53,0.7231,10.0,,0,High Quality,False,0.48303461939902725,-0.4874082284491483,-0.9372041207897951,
IRCTC,2024,Consumer Discretionary,1258520.29,1473943.68,60.44,5.74,32.47,1.08,38.005,Caution,34.4,0.0186,34.0,,0,High Quality,False,-0.22543373403526168,-0.6196036690385155,-0.3397752318135914,
