company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label,previous_pattern
ABB,Dec-12,+,+,+,Other,
ADANIENSOL,Mar-14,+,+,+,Other,
ADANIENSOL,Mar-15,-,+,+,Distress,Other
ADANIENSOL,Mar-16,+,+,+,Other,Distress
ADANIENT,Mar-13,+,+,+,Other,
ADANIGREEN,Mar-17,+,+,+,Other,
ADANIPORTS,Mar-13,+,+,+,Other,
ADANIPOWER,Mar-13,+,+,+,Other,
AGTL,Mar-18,-,+,+,Distress,
AMBUJACEM,Dec-12,+,+,+,Other,
AMBUJACEM,Mar-23,-,+,+,Distress,Other
AMBUJACEM,Mar-24,+,+,+,Other,Distress
APOLLOHOSP,Mar-13,+,+,+,Other,
ASIANPAINT,Mar-13,+,+,+,Other,
AXISBANK,Mar-13,+,+,+,Other,
AXISBANK,Mar-15,-,+,+,Distress,Other
AXISBANK,Mar-17,+,+,+,Other,Distress
AXISBANK,Mar-18,-,+,+,Distress,Other
AXISBANK,Mar-19,+,+,+,Other,Distress
AXISBANK,Mar-24,-,+,+,Distress,Other
BAJAJ-AUTO,Mar-13,+,+,+,Other,
BAJAJFINSV,Mar-13,-,+,+,Distress,
BAJAJFINSV,Mar-21,+,+,+,Other,Distress
BAJAJFINSV,Mar-22,-,+,+,Distress,Other
BAJAJHLDNG,Mar-13,+,+,+,Other,
BAJAJHLDNG,Mar-17,-,+,+,Distress,Other
BAJAJHLDNG,Mar-18,+,+,+,Other,Distress
BAJFINANCE,Mar-15,-,+,+,Distress,
BANKBARODA,Mar-13,+,+,+,Other,
BANKBARODA,Mar-16,-,+,+,Distress,Other
BANKBARODA,Mar-17,+,+,+,Other,Distress
BANKBARODA,Mar-18,-,+,+,Distress,Other
BANKBARODA,Mar-20,+,+,+,Other,Distress
BANKBARODA,Mar-21,-,+,+,Distress,Other
BANKBARODA,Mar-22,+,+,+,Other,Distress
BANKBARODA,Mar-23,-,+,+,Distress,Other
BEL,Mar-13,-,+,+,Distress,
BEL,Mar-15,+,+,+,Other,Distress
BEL,Mar-17,-,+,+,Distress,Other
BEL,Mar-19,+,+,+,Other,Distress
BHARTIARTL,Mar-13,+,+,+,Other,
BHEL,Mar-13,+,+,+,Other,
BHEL,Mar-19,-,+,+,Distress,Other
BHEL,Mar-21,+,+,+,Other,Distress
BHEL,Mar-23,-,+,+,Distress,Other
BOSCHLTD,Dec-12,+,+,+,Other,
BPCL,Mar-13,+,+,+,Other,
BRITANNIA,Mar-13,+,+,+,Other,
CANBK,Mar-13,+,+,+,Other,
CANBK,Mar-18,-,+,+,Distress,Other
CANBK,Mar-19,+,+,+,Other,Distress
CANBK,Mar-20,-,+,+,Distress,Other
CANBK,Mar-21,+,+,+,Other,Distress
CANBK,Mar-23,-,+,+,Distress,Other
CANBK,Mar-24,+,+,+,Other,Distress
CHOLAFIN,Mar-13,-,+,+,Distress,
CIPLA,Mar-13,+,+,+,Other,
COALINDIA,Mar-13,+,+,+,Other,
DABUR,Mar-13,+,+,+,Other,
DIVISLAB,Mar-13,+,+,+,Other,
DLF,Mar-13,+,+,+,Other,
DLF,Mar-17,-,+,+,Distress,Other
DLF,Mar-18,+,+,+,Other,Distress
DMART,Mar-13,+,+,+,Other,
DRREDDY,Mar-13,+,+,+,Other,
EICHERMOT,Dec-12,+,+,+,Other,
GAIL,Mar-13,+,+,+,Other,
GODREJCP,Mar-13,+,+,+,Other,
GRASIM,Mar-13,+,+,+,Other,
GRASIM,Mar-18,-,+,+,Distress,Other
GRASIM,Mar-20,+,+,+,Other,Distress
GRASIM,Mar-23,-,+,+,Distress,Other
HAL,Mar-17,-,+,+,Distress,
HAL,Mar-20,+,+,+,Other,Distress
HAVELLS,Mar-13,+,+,+,Other,
HCLTECH,Jun-13,+,+,+,Other,
HCLTECH,Mar-16,-,+,+,Distress,Other
HCLTECH,Mar-17,+,+,+,Other,Distress
HDFCBANK,Mar-13,-,+,+,Distress,
HDFCBANK,Mar-14,+,+,+,Other,Distress
HDFCBANK,Mar-15,-,+,+,Distress,Other
HDFCBANK,Mar-17,+,+,+,Other,Distress
HDFCBANK,Mar-19,-,+,+,Distress,Other
