company_id,year,broad_sector,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sector_median_pe,valuation_flag
ABB,2024,Industrials,1536236.24,1619349.16,75.58,4.48,12.63,0.96,47.155,Caution
BAJAJFINSV,2024,Financials,1905112.17,1807796.2,15.07,6.08,39.72,2.56,34.24,Discount
BAJFINANCE,2024,Financials,2473271.58,2632574.41,69.2,4.11,15.96,0.27,34.24,Caution
BANKBARODA,2024,Financials,590971.02,656699.32,16.89,4.15,24.7,2.62,34.24,Discount
BEL,2024,Industrials,1354781.06,1259877.04,17.89,9.22,23.14,0.76,47.155,Discount
BHEL,2024,Industrials,540053.85,682460.17,29.8,11.43,21.59,4.04,47.155,Discount
BOSCHLTD,2024,Consumer Discretionary,2599556.05,2628370.51,58.43,6.47,16.07,4.23,38.005,Caution
BPCL,2024,Energy,468662.13,606487.07,68.15,0.72,26.59,1.15,44.915,Caution
CHOLAFIN,2024,Financials,971931.96,1024979.49,16.79,10.36,13.52,2.83,34.24,Discount
COALINDIA,2024,Materials,454024.84,574785.39,34.27,14.75,25.15,4.38,55.62,Discount
DMART,2024,Consumer Discretionary,3053088.97,3624591.94,72.53,11.71,36.84,1.94,38.005,Caution
DRREDDY,2024,Healthcare,2441803.28,2725256.67,11.73,10.19,14.56,0.09,47.06,Discount
EICHERMOT,2024,Consumer Discretionary,222391.83,234358.89,15.62,13.61,19.29,4.41,38.005,Discount
GAIL,2024,Energy,1531867.57,1613856.89,25.84,9.54,33.07,0.31,44.915,Discount
GODREJCP,2024,Consumer Staples,1327797.2,1350416.57,33.59,8.07,23.55,3.09,50.95,Discount
GRASIM,2024,Industrials,478951.82,601673.21,79.35,5.68,15.23,0.98,47.155,Caution
HAL,2024,Industrials,2643616.86,3140281.78,71.89,3.65,8.76,2.77,47.155,Caution
HINDUNILVR,2024,Consumer Staples,548890.59,587463.38,34.51,11.88,7.52,4.32,50.95,Discount
ICICIPRULI,2024,Financials,1596987.55,2014403.87,20.83,12.38,22.57,0.35,34.24,Discount
INDIGO,2024,Consumer Discretionary,1040632.92,1061542.29,76.23,7.87,24.64,4.27,38.005,Caution
INDUSINDBK,2024,Financials,1807433.12,1674611.06,8.99,3.7,28.79,1.42,34.24,Discount
INFY,2024,Information Technology,1112279.92,1372029.68,35.99,8.97,36.7,4.1,63.63,Discount
IOC,2024,Energy,1418164.33,1786391.89,28.61,4.24,33.71,1.25,44.915,Discount
IRCTC,2024,Consumer Discretionary,1258520.29,1473943.68,60.44,5.74,32.47,1.08,38.005,Caution
IRFC,2024,Financials,2618348.58,2449260.08,9.81,3.91,16.66,2.82,34.24,Discount
JSWENERGY,2024,Energy,110870.53,124622.6,24.79,9.88,35.95,1.25,44.915,Discount
LT,2024,Industrials,1124597.5,1097873.76,30.8,2.48,16.63,1.26,47.155,Discount
M&M,2024,Consumer Discretionary,4173085.48,3837414.39,14.22,0.81,29.08,2.37,38.005,Discount
MARUTI,2024,Consumer Discretionary,1503863.63,1891991.87,20.78,8.26,29.97,1.78,38.005,Discount
MOTHERSON,2024,Consumer Discretionary,146151.16,161406.34,9.54,2.38,33.39,2.18,38.005,Discount
NAUKRI,2024,Communication Services,563824.44,544283.76,32.88,8.33,11.87,4.29,48.33,Discount
NHPC,2024,Energy,1740404.25,2103124.81,71.17,13.74,18.26,1.68,44.915,Caution
NTPC,2024,Energy,907823.11,1142814.16,30.8,5.24,37.12,0.06,44.915,Discount
ONGC,2024,Energy,390111.05,499988.49,18.15,10.36,11.72,1.11,44.915,Discount
PIDILITIND,2024,Materials,162274.18,165749.2,36.12,12.3,5.36,1.01,55.62,Discount
PNB,2024,Financials,1825925.6,2365495.49,19.29,10.91,23.64,1.32,34.24,Discount
SBILIFE,2024,Financials,886097.71,1097553.71,69.98,9.48,31.04,1.62,34.24,Caution
SBIN,2024,Financials,2400436.05,2686824.35,54.93,2.72,21.53,0.42,34.24,Caution
SHREECEM,2024,Materials,3154358.33,2911084.5,25.87,1.21,26.58,3.2,55.62,Discount
SHRIRAMFIN,2024,Financials,868933.47,1098024.4,68.53,7.91,28.82,1.86,34.24,Caution
TATAMOTORS,2024,Consumer Discretionary,1504106.64,1588737.42,67.07,0.93,15.35,3.65,38.005,Caution
TATAPOWER,2024,Energy,1647269.48,1925345.06,14.5,3.48,12.02,0.49,44.915,Discount
TITAN,2024,Consumer Discretionary,1793769.72,2116401.21,10.13,10.51,21.0,3.1,38.005,Discount
TRENT,2024,Consumer Discretionary,571322.04,566293.08,8.65,11.82,34.65,3.46,38.005,Discount
