id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_y,company_name,sector,pe_ratio,pb_ratio
66,ADANIPORTS,2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,48.9,2.31
78,ADANIPORTS,2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,48.9,2.31
90,ADANIPOWER,2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0,ADANIPOWER,Adani Power Ltd,Energy,44.57,9.91
113,APOLLOHOSP,2024,4.91,13.0,13.48,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333,1920.0,APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,47.72,7.68
160,BAJAJ-AUTO,2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,29.91,9.83
161,BAJAJ-AUTO,2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,29.91,9.83
197,BAJAJHLDNG,2024,432.73,92.0,13.58,0.0012,3764.5,0.0261,1469.0,472.0,653.0,48.8712,20.0,63,1941.0,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,37.73,9.38
339,COALINDIA,2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523,18103.0,COALINDIA,Coal India Ltd,Materials,34.27,14.75
399,DRREDDY,2024,19.91,28.0,19.74,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002,4543.0,DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19
411,EICHERMOT,2024,24.2,26.0,22.17,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61
